item,lift,confidence
miniskirts & blouses,5.378016086,0.002144772
sandals & caftans,5.368229501,1
caftans & sandals,5.368229501,0.000214087
bikinis & slides,5.351708801,0.151960784
slides & bikinis,5.351708801,0.043539326
hoodies & puffers,5.346481876,0.085714286
puffers & hoodies,5.346481876,0.007462687
slides & sweatpants,5.344202899,0.043478261
sweatpants & slides,5.344202899,0.019607843
tights & shirtdresses,5.335106383,0.05
shirtdresses & tights,5.335106383,0.004255319
vests & underwires,5.306878307,0.066666667
underwires & vests,5.306878307,0.003174603
shoes & pins,5.263019808,0.207792208
pins & shoes,5.263019808,0.032323232
bottles & hoodys,5.25416981,0.06097561
hoodys & bottles,5.25416981,0.017182131
slides & briefs,5.252849003,0.042735043
briefs & slides,5.252849003,0.024509804
vests & headbands,5.243322878,0.065868263
headbands & vests,5.243322878,0.034920635
packs & sunniess,5.240334378,0.018181818
sunniess & packs,5.240334378,0.011494253
kaftans & robes,5.237050961,0.01754386
robes & kaftans,5.237050961,0.011904762
gowns & puffs,5.236176078,0.12195122
puffs & gowns,5.236176078,0.008561644
bikinis & sunhats,5.235063012,0.148648649
sunhats & bikinis,5.235063012,0.015449438
beanies & joggers,5.210931006,0.083333333
joggers & beanies,5.210931006,0.014962594
clutches & fascinators,5.201378705,0.524390244
fascinators & clutches,5.201378705,0.017009494
heels & nightgowns,5.176507019,0.5
sweaters & raincoats,5.176507019,0.214285714
raincoats & sweaters,5.176507019,0.002890173
nightgowns & heels,5.176507019,0.000412882
playsuits & sunhats,5.134111384,0.067567568
sunhats & playsuits,5.134111384,0.015151515
slides & visors,5.121527778,0.041666667
visors & slides,5.121527778,0.004901961
briefs & kaftans,5.102767603,0.023809524
kaftans & briefs,5.102767603,0.017094017
waistcoats & oxfords,5.096544715,0.016666667
oxfords & waistcoats,5.096544715,0.012195122
headbands & slippers,5.07262502,0.033783784
slippers & headbands,5.07262502,0.02994012
waistcoats & shawls,5.012994802,0.016393443
fascinators & shawls,5.012994802,0.016393443
shawls & waistcoats,5.012994802,0.012195122
shawls & fascinators,5.012994802,0.012195122
kimonos & parkas,4.975198413,0.025
parkas & kimonos,4.975198413,0.007936508
handbags & sunniess,4.973553719,0.163636364
sunniess & handbags,4.973553719,0.010909091
scarfs & robes,4.970760234,0.210526316
robes & scarfs,4.970760234,0.011299435
eyewears & sunniess,4.928746929,0.036363636
sunniess & eyewears,4.928746929,0.010810811
knits & pullovers,4.901908233,0.165775401
pullovers & knits,4.901908233,0.036556604
frames & thermals,4.900332226,0.117647059
thermals & frames,4.900332226,0.003322259
mules & ponchos,4.898896161,0.068965517
ponchos & mules,4.898896161,0.011331445
vests & waistcoats,4.85385211,0.06097561
kimonos & puffs,4.85385211,0.024390244
waistcoats & vests,4.85385211,0.015873016
puffs & kimonos,4.85385211,0.007936508
sweaters & miniskirts,4.831406551,0.2
miniskirts & sweaters,4.831406551,0.001926782
leggings & raincoats,4.821188233,0.142857143
raincoats & leggings,4.821188233,0.00269179
swimsuits & slides,4.814708141,0.083333333
slides & swimsuits,4.814708141,0.039170507
packs & oxfords,4.803639847,0.016666667
oxfords & packs,4.803639847,0.011494253
jumpers & raincoats,4.801800077,0.071428571
raincoats & jumpers,4.801800077,0.002680965
espadrilles & sunhats,4.797123378,0.148648649
sunhats & espadrilles,4.797123378,0.014157014
bottles & joggers,4.787132493,0.055555556
joggers & bottles,4.787132493,0.013745704
overalls & parkas,4.785305344,0.025
parkas & overalls,4.785305344,0.007633588
wristlets & shawls,4.779832253,0.016393443
shawls & wristlets,4.779832253,0.011627907
